RouteID,latitude,longitude,nodeIdx,road,address,tollName,agency,state,roadType,cost,payment,node,lanes,duration,tollGrpId,eloc,distance,type,Road Catagory
1,12.840228,77.418022,151,Bangalore Mysore Expressway;Bengaluru Mysore Road;NH 275,"Bangalore Mysore Expressway, Ramanagara, Ramanagara District, Karnataka, 562109",Kanmanike Toll Plaza,NHAI,Karnataka;KA,NHY,165,['cash'],288839329,0,1078.4,390523456,MEDRAD,7978.4,barrier,"NHY,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,13.193642,77.64968,1133,Bangalore Bellary Road;Bangalore Hyderabad Highway;International Airport Road;AH 43;NH 44,"Bangalore Bellary Road, Navarathna Agrahara, Bengaluru, Karnataka, 562157",Navayuga Devanahalli Toll Plaza,NHAI,Karnataka;KA,NGQ,110,['cash'],271149899,0,5863.8,426,JVPKPB,59674.7,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,13.792897,77.764213,2234,Srinagar Kanyakumari Highway;AH 43;NH 44,"NH-7, Bangalore Hyderabad Road, Bagepalli, Chikkaballapur District;Chikkaballapura District, Karnataka, 561207",Bagepalli Toll Plaza,NHAI,Karnataka;KA,NGQ,115,['cash'],103960020,4,10259.4,64,JVQS1N,132322,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,14.502084,77.63124,3748,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Raptadu, Ananthapuramu District, Andhra Pradesh, 515522",Marur Toll Plaza,NHAI,Andhra Pradesh;AP,NGQ,135,['cash'],274837040,0,15877,696,JVUC1U,221851.9,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,15.061797,77.630227,4810,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Peddavadugur, Ananthapuramu District, Andhra Pradesh, 515401",Kasepalli Toll Plaza,NHAI,Andhra Pradesh;AP,NGQ,125,['cash'],286109621,0,21270.4,213,JVVCS4,288027,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,15.486484,77.901044,5779,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Krishnagiri, Kurnool District, Andhra Pradesh, 518216",Amakathadu Toll Plaza,NHAI,Andhra Pradesh;AP,NGQ,130,['cash'],274837016,0,25067.3,214,JVVE1U,346855.9,barrier,"NGQ,NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,15.887732,78.016874,6598,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Undavelly, Jogulamba Gadwal District, Telangana, 509128",Pullur Toll Plaza,NHAI,Telangana;TG,NGQ,130,['cash'],103952360,0,28255,215,JVXWF5,396479.8,barrier,"NGQ,NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,16.53572,77.94462,7892,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Addakal, Mahabubnagar District, Telangana, 509382",Shakhapur Toll Plaza,NHAI,Telangana;TG,NGQ,65,['cash'],270959913,0,33755.2,853,JVXDM6,482184.5,barrier,"NGQ,NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,17.00592,78.194435,8834,Srinagar Kanyakumari Highway;AH 43;NH 44,"NH 7, Kurnool Road, Mahaboobnagar, Farooqnagar, Rangareddy District;Ranga Reddy District;KV Ranga Reddy District, Telangana, 509202",Raikal Toll Plaza,NHAI,Telangana;TG,NGQ,80,['cash'],270961339,0,37759.7,854,JVXUN7,542875.3,barrier,"NGQ,RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,17.249586,78.37519,9425,,"Shamshabad, Hyderabad, Telangana, 501218",Shamshabad Entry Toll Plaza,HMDA,Telangana;TG,RDA,120,['cash'],94303407,0,39964.9,390523080,JVWPVM,577413.7,ticket,"RDA,RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,17.603289,78.475744,10346,Nehru Outer Ring Road;Outer Ring Road;ORR,"Nehru Outer Ring Road, Seethariguda, Hyderabad, Telangana, 501401",Medchal Toll Plaza,,Telangana;TG,RDA,,,94307636,0,43268.6,598,H19BMQ,645526.8,barrier,"RDA,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,17.598015,78.490995,10402,,"Kandlakoya, Hyderabad, Telangana, 501401",Medchal Exit Toll Plaza,HMDA,Telangana;TG,RDA,,,270955885,7,43453.2,390522086,JVX1RP,647771,ticket,"RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,17.801157,78.471591,10907,Srinagar Kanyakumari Highway;AH 43;NH 44,"NH 7 Road, Toopran, Toopran;Tupran, Medak District, Telangana, 502336",Manoharabad Toll Plaza,NHAI,Telangana;TG,NGQ,90,['cash'],285086774,0,45344.7,739,JW4FNC,671448.1,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,18.205053,78.3983,11839,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Bhiknoor, Kamareddy District, Telangana, 503101",Bhiknoor Toll Plaza,NHAI,Telangana;TG,NGQ,90,['cash'],276823454,0,48247,390500023,VKK6ME,722292.7,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,18.538327,78.239653,12627,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Indalwai, Nizamabad District, Telangana, 503164",Indalwai Toll Plaza,NHAI,Telangana;TG,NGQ,85,['cash'],93750976,6,51273.5,509,JVXQ2T,770970,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,19.026579,78.362577,13656,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Soan, Nirmal District, Telangana, 504105",Gamjal Toll Plaza,NHAI,Telangana;TG,NGQ,60,['cash'],93942893,6,55333,221,JVXT2L,834971.2,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,19.279922,78.409329,14396,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Neradigonda, Adilabad District, Telangana, 504323",Rolmamda Toll Plaza,NHAI,Telangana;TG,NGQ,105,['cash'],285087212,0,57951.6,222,JVXRCW,876758.5,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,19.780937,78.565612,15411,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Jainad, Adilabad District, Telangana, 504309",Pippalwada Toll Plaza,NHAI,Telangana;TG,NGQ,95,['cash'],93942485,0,62403.1,226,JVXQQS,940645.1,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,20.019386,78.540194,15893,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Kelapur, Yavatmal District, Maharashtra, 445302",Kelapur Toll Plaza,NHAI,Maharashtra;MH,NGQ,105,['cash'],93751037,2,64407.5,518,JVNQQM,970059.6,barrier,"NGQ,NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,20.450486,78.75504,16860,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Hinganghat, Wardha District, Maharashtra, 442307",Daroda Toll Plaza,NHAI,Maharashtra;MH,NGQ,115,['cash'],293285344,5,68511.5,534,JVNU3V,1027721.4,barrier,"NGQ,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,20.854786,78.962971,17726,Srinagar Kanyakumari Highway;AH 43;NH 44,"Srinagar Kanyakumari Highway, Borkhedi, Maharashtra, 441108",Borkhedi Nagpur Bypass Toll Plaza,NHAI,Maharashtra;MH,NGQ,150,['cash'],87843109,5,72529.7,376,JVNK42,1084546,barrier,"NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.028294,79.06892,18102,Nagpur Bypass;Outer Ring Road;AH 43;NH 44,"Nagpur Bypass, Nagpur Rural, Nagpur District, Maharashtra, 441108",Panjari Toll Plaza,NHAI,Maharashtra;MH,NGQ,145,['cash'],87814452,5,74549.6,248,JVO8CV,1108562.8,barrier,"NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.139587,79.3651,18668,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,"Mumbai Kolkata Highway, Mauda, Nagpur District, Maharashtra, 441104",WEPL Mathani Toll Plaza,NHAI,Maharashtra;MH,NHY,65,['cash'],104022529,5,77590.7,692,JVM9V6,1147451.5,barrier,"NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.13965,79.675258,19242,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,"Mumbai Kolkata Highway, Bhandara, Bhandara District, Maharashtra, 441924",Kardha Toll Plaza,NHAI,Maharashtra;MH,NHY,21,['cash'],104022540,2,80125.4,693,JVOC0I,1181482.1,barrier,"NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.088324,80.034127,19819,Mumbai Kolkata Highway;Great Eastern Highway;AH 46;NH 53,"Mumbai Kolkata Highway, Sakoli, Bhandara District, Maharashtra, 441802",Sendurwafa Toll Plaza,NHAI,Maharashtra;MH,NHY,95,['cash'],104022513,4,83271.2,691,JVOBDI,1221721,barrier,"NHY,NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.117942,81.122385,21633,Mumbai Kolkata Highway;AH 46;NH 53,"Mumbai Kolkata Highway, Rajnandgaon, Rajnandgaon District, Chhattisgarh, 491443",Thakurtola Toll Plaza,NHAI,Chhattisgarh;CT,NHY,110,['cash'],267889920,0,91627.7,661,JVZKL7,1339232.9,barrier,"NHY,NHY,NHY,NHY,NHY,NHY,NHY"
1,21.214526,81.288009,21998,Durg Bypass;Mumbai Kolkata Highway;AH 46;NH 53,"Durg Bypass, Durg, Durg District, Chhattisgarh, 491001",Durg Bypass Dhamdanaka Toll Plaza,NHAI,Chhattisgarh;CT,NHY,75,['cash'],103935082,0,93068.3,662,JVZL34,1362598.5,barrier,"NHY,NHY,NHY,NHY,NHY,NHY"
1,21.252788,81.536872,22425,Mumbai Kolkata Highway;Great Eastern Road;GE Road;AH 46;NH 53,"Mumbai Kolkata Highway, Kumhari, Chhattisgarh, 490042",Kumhari Toll Plaza,NHAI,Chhattisgarh;CT,NHY,15,['cash'],272437348,0,95739.8,412,JVZKAF,1390437.1,barrier,"NHY,NHY,NHY,NHY,NHY"
