Route_ID,longitude,latitude,distance,place_id,poi,subSubLocality,subLocality,locality,city,subDistrict,district,state,poplrName,address,tel,email,website,e_lng,e_lat,category,brand_code
1,77.408439,12.816044,4154,SJH681,Maharashtra Natural Gas Ltd CNG Station,,,,Bidadi Industrial Area,Ramanagara,Ramanagara District,Karnataka,MNGL CNG Station,"Bangalore Mysore Highway Bidadi, Tehsil Kudal, Vasco, Bidadi Industrial Area, Karnataka, 562109",,,www.mngl.in,77.408252,12.816381,TRNCNG,B81121080
1,77.414498,12.833313,5782,WIMIHN,Maharashtra Natural Gas Ltd CNG Station,,,,,Ramanagara,Ramanagara District,Karnataka,MNGL CNG Station,"Ramanagara, Ramanagara District, Karnataka, 562109",,,,77.41448,12.833354,TRNCNG,B81121080
1,77.439101,12.870487,9923,F4MK4G,GAIL Gas CNG Station,,Kumbalgudu Industrial Area Phase 1,Kumbalagodu,Bengaluru,Bengaluru South,Bengaluru Urban District,Karnataka,,"HP Petrol Pump, Sy No 50/2, NH 275, Kumbalgodu, Bengaluru, Karnataka, 560074",,,gailgas.com,77.438899,12.870779,TRNCNG,B81121076
1,77.464658,12.898521,13620,QJPHSB,GAIL Gas CNG Station,,,Venkatapura South Taluka,Bengaluru,Bengaluru South,Bengaluru Urban District,Karnataka,,"HP Petrol Pump, Survey No 232, Mysore Road, Kengeri, Bengaluru, Karnataka, 560060",,,gailgas.com,77.464612,12.898705,TRNCNG,B81121076
1,77.493867,12.94304,19371,WIII77,GAIL Gas CNG Station,,Jagajyothi Layout,Jnana Bharathi,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"8th Cross Road, Jagajyothi Layout, Jnana Bharathi, Bengaluru, Karnataka, 560056",,,,77.493973,12.943139,TRNCNG,B81121076
1,77.521357,12.991674,25518,O4JNVU,GAIL Gas CNG Station,Sannaki Bayalu,Vrushabhavathi Nagar,Kamakshipalya,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"Sannaki Bayalu, Vrushabhavathi Nagar, Kamakshipalya, Bengaluru, Karnataka, 560079",,,gailgas.com,77.521271,12.991715,TRNCNG,B81121076
1,77.536023,13.028846,29940,F4MHUN,GAIL Gas CNG Station,,Yeshwanthpur Suburb Stage 2,Yeshwanthpur,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"Reliance Petrol Pump, No 17/A/1, Gorugundapalya, Yeshwantpur, Bengaluru, Karnataka, 560022",,,gailgas.com,77.536033,13.028819,TRNCNG,B81121076
1,77.556731,13.043134,32328,QJQJOQ,GAIL Gas CNG Station,,,Gokula,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"Indian Oil Petrol Pump, Gokula Post, Mathikere, Bengaluru, Karnataka, 560054",,,gailgas.com,77.556812,13.043104,TRNCNG,B81121076
1,77.598998,13.097153,39767,F4MS3O,GAIL Gas CNG Station,,,Nehru Nagar,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"Khata No 172/167/521/433 and 161/157/512/428, Nehru Nagar, Yelahanka, Bengaluru, Karnataka, 560064",,,gailgas.com,77.598783,13.097246,TRNCNG,B81121076
1,77.602719,13.103861,40614,QJQIT7,GAIL Gas CNG Station,,,Kogilu,Bengaluru,Bengaluru North,Bengaluru Urban District,Karnataka,,"Indian Oil Petrol Pump, Kogilu Crossing, Bengaluru, Karnataka, 560064",,,gailgas.com,77.602731,13.10391,TRNCNG,B81121076
