,uid,start,end,start_lat,start_lon,end_lat,end_lon,LCV_Duration(s),LCV_Distance(m),Trucking_Duration(s),Trucking_Distance(m)
0,1,Bidadi,Ambikapur,12.782286,77.424975,23.112297,83.182082,101992,1727607.8,129278.1,1738759.3
1,2,Bidadi,Bhilai,12.782286,77.424975,21.208241,81.379906,79372.5,1369642.8,100681.3,1380794.3
2,3,Bidadi,Raipur,12.782286,77.424975,21.219474,81.631294,81369.7,1399355.7,102890,1410507.2
3,4,Becharaji Plant,JHANSI,23.495345,72.0223,25.445902,78.58994,49865.7,906915.6,63829,904890.4
4,5,Becharaji Plant,SHAHDOL - JBP,23.495345,72.0223,23.302021,81.369715,71241,1169380.6,94823.3,1222557.5
5,6,Becharaji Plant,SHAHDOL,23.495345,72.0223,23.302021,81.369715,71241,1169380.6,94823.3,1222557.5
6,7,Becharaji Plant,SATNA,23.495345,72.0223,24.572832,80.84508,65034.2,1184201.7,81635,1181488.6
7,8,Becharaji Plant,RATLAM,23.495345,72.0223,23.321017,75.027726,26620.8,419999.7,35388,454878.1
8,9,Becharaji Plant,NEEMUCH,23.495345,72.0223,24.455081,74.875342,26285.1,436940.7,34117.3,434571.9
9,10,Becharaji Plant,REWA,23.495345,72.0223,24.543591,81.319384,68693.5,1240624.3,85728.9,1237389.7
10,11,Becharaji Plant,BHOPAL,23.495345,72.0223,23.229499,77.443705,40516.3,679626.8,52364.4,689029.4
11,12,Becharaji Plant,CHINDWARA,23.495345,72.0223,18.592923,73.819012,40307.4,748657.6,50279.8,763663
12,13,Becharaji Plant,KHARGONE,23.495345,72.0223,21.826401,75.619738,33474.7,542352.2,42419.8,552743.3
13,14,Becharaji Plant,GWALIOR,23.495345,72.0223,26.192257,78.173541,51415.4,932371.5,68662.8,917566.4
14,15,Becharaji Plant,JABALPUR,23.495345,72.0223,23.195613,79.914648,58109.6,987043.6,77284.5,996477.6
15,16,Becharaji Plant,INDORE,23.495345,72.0223,22.76965,75.862618,29724.1,490070,38239.8,499437.7
16,17,Becharaji Plant,DEWAS,23.495345,72.0223,22.967093,76.05708,31917.4,520969.1,40821.4,537923.7
17,18,Becharaji Plant,SAGAR,23.495345,72.0223,23.848984,78.723752,50267,839380,67769.8,874635.8
18,19,Becharaji Plant,HOSHANGABAD,23.495345,72.0223,22.754902,77.718484,45266.8,749526.9,57624.6,712247.7
19,20,Becharaji Plant,UJJAIN,23.495345,72.0223,23.181083,75.782609,32285.6,533637.4,42538.1,518560.8
20,21,Becharaji Plant,Dobbaspet(TVP-Bangalore),23.495345,72.0223,13.199074,77.708465,88789.2,1611896.5,109047.3,1632381.5
21,22,Becharaji Plant,Siliguri,23.495345,72.0223,26.724031,88.417118,113541.5,2186670.5,142088.2,2143188.1
22,23,Becharaji Plant,Mundra,23.495345,72.0223,22.83943,69.724379,19810.6,313201.2,26090.5,318126.3
23,24,Becharaji Plant,GUNA,23.495345,72.0223,24.643249,77.305686,45859,768083.3,57123.2,780893.4
24,25,Dobbaspet,Cuddapah,13.235586,77.264675,14.464832,78.83134,18790.9,276614.3,24937.8,291122.5
25,26,Dobbaspet,Kalpetta,13.235586,77.264675,11.605623,76.084837,19593,308425.5,25320.3,308425.5
26,27,Haryana Plant,JHANSI,28.368838,76.890005,25.445902,78.58994,23318.9,432166,27093.3,432166
27,28,Haryana Plant,SHAHDOL - JBP,28.368838,76.890005,23.302021,81.369715,50685.8,988403.2,61309.9,889022.8
28,29,Haryana Plant,SHAHDOL,28.368838,76.890005,23.302021,81.369715,50685.8,988403.2,61309.9,889022.8
29,30,Haryana Plant,SATNA,28.368838,76.890005,24.572832,80.84508,36060.5,745585.9,44603.4,702796.9
30,31,Haryana Plant,RATLAM,28.368838,76.890005,23.321017,75.027726,33966.9,747487.3,45946.5,748568.2
31,32,Haryana Plant,NEEMUCH,28.368838,76.890005,24.455081,74.875342,32984.9,654661.5,42629.9,591813.4
32,33,Haryana Plant,REWA,28.368838,76.890005,24.543591,81.319384,39621.2,799133.7,48697.3,758698.1
33,34,Haryana Plant,BHOPAL,28.368838,76.890005,23.229499,77.443705,42327.7,748325.5,55229.1,742713.9
34,35,Haryana Plant,CHINDWARA,28.368838,76.890005,18.592923,73.819012,74596.9,1437926.2,97548.9,1421247.7
35,36,Haryana Plant,KHARGONE,28.368838,76.890005,21.826401,75.619738,46854.3,963517.9,62430.4,963517.9
36,37,Haryana Plant,GWALIOR,28.368838,76.890005,26.192257,78.173541,17600.4,317973.2,20577.5,319329.8
37,38,Haryana Plant,JABALPUR,28.368838,76.890005,23.195613,79.914648,45923.8,843112.1,53360.1,843112.1
38,39,Haryana Plant,INDORE,28.368838,76.890005,22.76965,75.862618,40674.2,790468.8,54952.6,809377.5
39,40,Haryana Plant,DEWAS,28.368838,76.890005,22.967093,76.05708,40069.1,778160.1,52797.3,784340.4
40,41,Haryana Plant,SAGAR,28.368838,76.890005,23.848984,78.723752,34831.3,638746.7,40055.5,639250.4
41,42,Haryana Plant,HOSHANGABAD,28.368838,76.890005,22.754902,77.718484,47078.2,818225.5,59598.5,861635.7
42,43,Haryana Plant,UJJAIN,28.368838,76.890005,23.181083,75.782609,37272.4,739738,49034.4,739185.1
43,44,Haryana Plant,Dobbaspet(TVP-Bangalore),28.368838,76.890005,13.199074,77.708465,115643.5,2105698.4,138679.5,2110060.3
44,45,Haryana Plant,Siliguri,28.368838,76.890005,26.724031,88.417118,73235.7,1499940.7,88857.7,1446673
45,46,Haryana Plant,Mundra,28.368838,76.890005,22.83943,69.724379,55854.4,1124928.6,71322.5,1137005.9
46,47,Haryana Plant,GUNA,28.368838,76.890005,24.643249,77.305686,29887.5,531263.9,38034.1,527599.4
